Repetition [1] : [0.1437, 0.1958, 0.4640, 0.2097, 0.3744, 0.4259, 0.4258, 0.3583, 0.5691, 0.3586]
Repetition [1] : [0.1762, 0.3995, 0.2224, 0.2219, 0.4560, 0.4412, 0.3060, 0.3395, 0.5030, 0.4570]
Repetition [2] : [0.2576, 0.3036, 0.2338, 0.2474, 0.4946, 0.3910, 0.4706, 0.3880, 0.4741, 0.3119]
Repetition [1] : [0.2104, 0.2856, 0.1675, 0.3927, 0.4309, 0.3369, 0.5275, 0.4794, 0.5180, 0.3381]
Repetition [2] : [0.2689, 0.3320, 0.3735, 0.2376, 0.2782, 0.4155, 0.4704, 0.4655, 0.1872, 0.4846]
Repetition [3] : [0.3036, 0.2891, 0.2582, 0.2615, 0.2627, 0.4788, 0.4556, 0.5574, 0.5826, 0.5099]
Repetition [4] : [0.2913, 0.3217, 0.3558, 0.3929, 0.2735, 0.3767, 0.2840, 0.3386, 0.2996, 0.3415]
Repetition [1] : [0.3640, 0.1999, 0.2919, 0.3475, 0.3999, 0.3058, 0.4452, 0.5112, 0.2291, 0.3876]
Repetition [2] : [0.3678, 0.1812, 0.4011, 0.3716, 0.3901, 0.2354, 0.4379, 0.5859, 0.5260, 0.5664]
Repetition [3] : [0.2314, 0.2790, 0.3599, 0.2249, 0.5012, 0.3769, 0.4599, 0.4517, 0.3235, 0.5232]
Repetition [1] : [0.3134, 0.3070, 0.3872, 0.3440, 0.1791, 0.2795, 0.3434, 0.3453, 0.4789, 0.3504]
