Repetition [1] : [0.6815, 0.7509, 0.7718, 0.7749, 0.7916, 0.7906, 0.7975, 0.8085, 0.8121, 0.8179, 0.8155, 0.8133, 0.8201, 0.8234, 0.8246, 0.8283, 0.8309, 0.8339, 0.8350, 0.8350]
Repetition [2] : [0.7153, 0.7462, 0.7671, 0.7728, 0.7850, 0.7943, 0.8044, 0.8045, 0.8147, 0.8164, 0.8177, 0.8261, 0.8216, 0.8265, 0.8324, 0.8346, 0.8309, 0.8399, 0.8394, 0.8390]
Repetition [3] : [0.7268, 0.7552, 0.7768, 0.7889, 0.7974, 0.8030, 0.8069, 0.8116, 0.8129, 0.8227, 0.8209, 0.8229, 0.8271, 0.8270, 0.8280, 0.8351, 0.8369, 0.8347, 0.8359, 0.8381]
Repetition [4] : [0.7259, 0.7542, 0.7827, 0.7930, 0.8017, 0.8064, 0.7979, 0.8137, 0.8140, 0.8217, 0.8250, 0.8256, 0.8259, 0.8285, 0.8256, 0.8336, 0.8313, 0.8305, 0.8327, 0.8336]
Repetition [5] : [0.7027, 0.7665, 0.7755, 0.7885, 0.7979, 0.8060, 0.8090, 0.8084, 0.8205, 0.8194, 0.8256, 0.8283, 0.8320, 0.8315, 0.8324, 0.8380, 0.8395, 0.8436, 0.8395, 0.8476]
Repetition [1] : [0.7239, 0.7555, 0.7810, 0.7921, 0.8014, 0.8049, 0.8047, 0.8097, 0.8114, 0.8165, 0.8277, 0.8240, 0.8314, 0.8305, 0.8351, 0.8340, 0.8375, 0.8404, 0.8395, 0.8424]
Repetition [2] : [0.7169, 0.7534, 0.7681, 0.7860, 0.7900, 0.7965, 0.8029, 0.8101, 0.8110, 0.8176, 0.8313, 0.8251, 0.8349, 0.8311, 0.8355, 0.8399, 0.8391, 0.8406, 0.8410, 0.8444]
Repetition [3] : [0.6616, 0.7436, 0.7716, 0.7900, 0.7983, 0.8040, 0.8110, 0.8160, 0.8039, 0.8174, 0.8246, 0.8295, 0.8296, 0.8311, 0.8339, 0.8355, 0.8366, 0.8404, 0.8425, 0.8400]
Repetition [4] : [0.7261, 0.7506, 0.7720, 0.7880, 0.7953, 0.8076, 0.7983, 0.8219, 0.8217, 0.8270, 0.8290, 0.8205, 0.8263, 0.8300, 0.8337, 0.8374, 0.8426, 0.8438, 0.8425, 0.8425]
Repetition [5] : [0.7001, 0.7450, 0.7665, 0.7880, 0.7923, 0.8005, 0.7993, 0.8010, 0.8076, 0.8169, 0.8231, 0.8264, 0.8197, 0.8233, 0.8311, 0.8296, 0.8355, 0.8374, 0.8376, 0.8403]
